# x_m,y_m,w_tr_right_m,w_tr_left_m
628.4133319,930.2386591,4.219195098,4.915953337
626.664363,928.7262679,4.205096385,4.933301179
624.9157274,927.2136953,4.191353556,4.950292466
623.1674431,925.700923,4.177992211,4.966901641
621.4195279,924.1879327,4.165037957,4.983103148
619.6719998,922.6747062,4.152516396,4.998871434
617.9248767,921.161225,4.141447085,5.014180949
616.1781766,919.6474709,4.141404731,5.029006144
614.4319174,918.1334256,4.141871387,5.043321475
612.6861171,916.6190709,4.142872657,5.061618419
610.9407935,915.1043883,4.144434146,5.080362941
609.1959646,913.5893597,4.14658146,5.098520453
607.4516483,912.0739668,4.149340209,5.116065415
605.7078626,910.5581911,4.152736004,5.13297229
603.9646254,909.0420145,4.156794457,5.149215545
602.2219547,907.5254186,4.161541183,5.164769648
600.4798683,906.0083851,4.167001801,5.179609072
598.7383842,904.4908958,4.173201928,5.19370829
596.9975203,902.9729324,4.180167189,5.207041779
595.2572946,901.4544764,4.187923206,5.219584018
593.5177251,899.9355098,4.196495608,5.23130949
591.7788295,898.416014,4.205910025,5.242192679
590.0406259,896.895971,4.206057697,5.246471626
588.3031323,895.3753623,4.205377538,5.243655974
586.5663665,893.8541696,4.205616847,5.239922671
584.8303464,892.3323747,4.206801264,5.235246205
583.0950901,890.8099593,4.208956426,5.229601066
581.3606154,889.2869051,4.212107976,5.222961745
579.6269402,887.7631937,4.216281559,5.215302732
577.8940826,886.2388069,4.221502824,5.206598517
576.1620604,884.7137264,4.227797423,5.19682359
574.4308916,883.1879339,4.235191011,5.185952441
572.7005941,881.6614111,4.243709247,5.173959559
570.9711859,880.1341396,4.253377795,5.160819432
569.2426848,878.6061013,4.264222323,5.146506545
567.5151089,877.0772777,4.276268504,5.130995386
565.7884759,875.5476507,4.289542015,5.117472774
564.062804,874.0172018,4.30406854,5.102729916
562.338111,872.4859128,4.319873767,5.086711958
560.6144148,870.9537655,4.336983391,5.069393379
558.8917334,869.4207415,4.355423114,5.050748659
557.1700847,867.8868224,4.375218644,5.030752273
555.4494867,866.3519901,4.396395696,5.013474611
553.7299572,864.8162263,4.420537192,4.999332306
552.0115143,863.2795125,4.446268783,4.983761049
550.2941758,861.7418306,4.473459046,4.966735319
548.5779597,860.2031622,4.502133734,4.94822959
546.8628839,858.663489,4.53231861,4.928218334
